Order_ID,Transaction_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Revenue_Corrected,Cost,Profit_Corrected,Profit_Status
2000,0001,Kids,Training,SuperRep Go,M,2,6110.03,0.47,6476.63,09-03-2024,Online,Bangalore,-2077.41,6476.63,8554.04,-2077.41,Loss
2001,0002,Women,Soccer,Tiempo Legend,M,3,4957.93,0.62,5652.04,09-07-2024,Retail,Hyderabad,-4759.61,5652.04,10411.65,-4759.61,Loss
2002,0003,Women,Soccer,Premier III,M,4,6110.03,0.62,9287.25,01-08-2024,Retail,Mumbai,-7820.83,9287.25,17108.08,-7820.83,Loss
2003,0004,Kids,Lifestyle,Blazer Mid,L,2,9673.57,0.62,7351.91,01-08-2024,Online,Pune,-6191.09,7351.91,13543,-6191.09,Loss
2004,0005,Kids,Running,React Infinity,XL,2,6110.03,0.62,4643.62,01-08-2024,Retail,Delhi,-3910.42,4643.62,8554.04,-3910.42,Loss
2005,0006,Women,Training,Flex Trainer,M,1,7363.96,0.62,2798.3,01-08-2024,Retail,Delhi,-2356.47,2798.3,5154.77,-2356.47,Loss
2006,0007,Men,Training,SuperRep Go,M,2,6819.78,0.62,5183.03,01-08-2024,Online,Bangalore,-4364.66,5183.03,9547.69,-4364.66,Loss
2007,0008,Kids,Training,SuperRep Go,M,1,6110.03,0.32,4154.82,01-08-2024,Retail,Bangalore,-122.2,4154.82,4277.02,-122.2,Loss
2008,0009,Women,Soccer,Premier III,11,2,6110.03,0.62,4643.62,01-08-2024,Online,Hyderabad,-3910.42,4643.62,8554.04,-3910.42,Loss
2009,0010,Men,Soccer,Mercurial Superfly,M,4,6110.03,0.62,9287.25,01-08-2024,Online,Pune,-7820.83,9287.25,17108.08,-7820.83,Loss
2010,0011,Kids,Lifestyle,Waffle One,L,1,7949.83,0.62,3020.94,01-08-2024,Online,Pune,-2543.94,3020.94,5564.88,-2543.94,Loss
2011,0012,Women,Training,Flex Trainer,L,2,9586.08,0.62,7285.42,01-08-2024,Retail,Hyderabad,-6135.09,7285.42,13420.51,-6135.09,Loss
2018,0013,Kids,Lifestyle,Blazer Mid,L,2,6110.03,0.86,1710.81,01-08-2024,Online,Delhi,-6843.23,1710.81,8554.04,-6843.23,Loss
2013,0014,Kids,Training,SuperRep Go,L,2,9671.05,0.62,7350,01-08-2024,Online,Hyderabad,-6189.47,7350,13539.47,-6189.47,Loss
2014,0015,Women,Running,React Infinity,11,2,6110.03,0.62,4643.62,12-04-2025,Online,Bangalore,-3910.42,4643.62,8554.04,-3910.42,Loss
2015,0016,Kids,Basketball,Air Jordan,L,2,3285.52,0.62,2497,01-08-2024,Retail,Kolkata,-2102.73,2497,4599.73,-2102.73,Loss
2016,0017,Women,Basketball,Air Jordan,M,1,9871.75,0.3,6910.22,01-08-2024,Retail,Hyderabad,0,6910.22,6910.22,0,Break-even
2017,0018,Women,Basketball,Air Jordan,9,4,6110.03,0.62,9287.25,01-08-2024,Retail,Delhi,-7820.83,9287.25,17108.08,-7820.83,Loss
2018,0019,Men,Training,Metcon 7,XL,0,6110.03,1.17,0,01-08-2024,Online,Bangalore,0,0,0,0,Break-even
2019,0020,Kids,Running,Air Zoom,6,0,3424.06,0.32,0,01-08-2024,Online,Hyderabad,0,0,0,0,Break-even
2020,0021,Kids,Soccer,Tiempo Legend,L,2,6110.03,0.67,4032.62,01-08-2024,Retail,Mumbai,-4521.42,4032.62,8554.04,-4521.42,Loss
2021,0022,Men,Running,Free RN,L,2,7086.7,0.66,4818.96,01-08-2024,Retail,Hyderabad,-5102.42,4818.96,9921.38,-5102.42,Loss
2022,0023,Women,Soccer,Premier III,M,2,6110.03,0.62,4643.62,01-08-2024,Online,Pune,-3910.42,4643.62,8554.04,-3910.42,Loss
2023,0024,Men,Lifestyle,Waffle One,M,2,5003.95,0.62,3803,01-08-2024,Online,Mumbai,-3202.53,3803,7005.53,-3202.53,Loss
2024,0025,Kids,Training,SuperRep Go,XL,0,6110.03,0.5,0,01-08-2024,Retail,Bangalore,0,0,0,0,Break-even
2025,0026,Women,Basketball,Kyrie Flytrap,M,3,9820.5,0.62,11195.37,01-08-2024,Retail,Mumbai,-9427.68,11195.37,20623.05,-9427.68,Loss
2026,0027,Kids,Lifestyle,Blazer Mid,XL,1,6110.03,0.16,5132.43,10-08-2024,Retail,Kolkata,855.41,5132.43,4277.02,855.41,Profit
2027,0028,Men,Basketball,Zoom Freak,XL,2,6110.03,0.22,9531.65,01-08-2024,Online,Pune,977.61,9531.65,8554.04,977.61,Profit
2028,0029,Men,Training,Flex Trainer,12,2,3270.23,0.62,2485.37,01-08-2024,Retail,Delhi,-2092.95,2485.37,4578.32,-2092.95,Loss
2029,0030,Men,Training,ZoomX Invincible,12,0,6110.03,0.62,0,28-10-2023,Online,Bangalore,0,0,0,0,Break-even
2030,0031,Men,Soccer,Phantom GT,XL,2,6110.03,1.05,-611,01-08-2024,Retail,Hyderabad,-9165.04,-611,8554.04,-9165.04,Loss
2031,0032,Men,Soccer,Premier III,L,4,3493.04,0.82,2514.99,09-05-2024,Online,Delhi,-7265.52,2514.99,9780.51,-7265.52,Loss
2032,0033,Women,Lifestyle,Blazer Mid,XL,1,6110.03,1.07,-427.7,01-08-2024,Retail,Mumbai,-4704.72,-427.7,4277.02,-4704.72,Loss
2033,0034,Men,Soccer,Mercurial Superfly,XL,2,6110.03,0.62,4643.62,01-08-2024,Retail,Kolkata,-3910.42,4643.62,8554.04,-3910.42,Loss
2034,0035,Men,Basketball,Air Jordan,6,2,6235.71,0.62,4739.14,01-08-2024,Retail,Delhi,-3990.85,4739.14,8729.99,-3990.85,Loss
2035,0036,Kids,Basketball,Zoom Freak,L,4,6110.03,0.38,15152.87,01-08-2024,Online,Bangalore,-1955.21,15152.87,17108.08,-1955.21,Loss
2036,0037,Men,Training,Metcon 7,L,3,6110.03,0.62,6965.43,01-08-2024,Retail,Bangalore,-5865.63,6965.43,12831.06,-5865.63,Loss
